facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional
A-C Opticals,MZ160004,Clinic,Mission/Faith-based (other than CHAM),NA,NA,North Zone,Non-functional
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional
AC Opticals Lilongwe Shopping,LL040008,Dispensary,Private,NA,NA,Centrals West Zone,Functional
AC Opticals Old Town,LL040009,Dispensary,Private,NA,NA,Centrals West Zone,Functional
Achikondi,LL040010,Dispensary,Private,-13.95473,33.7793,Centrals West Zone,Functional
Adventist Health Centre,LL040011,Hospital,Christian Health Association of Malawi (CHAM),-13.95473,33.7793,Centrals West Zone,Functional
Adventist,LL040012,Health Centre,Christian Health Association of Malawi (CHAM),-13.95473,33.7793,Centrals West Zone,Functional
Africa Leaf Clinic Kanengo,LL040013,Clinic,Private,-13.8898,33.80487,Centrals West Zone,Non-functional
AHI,ZA230014,Clinic,Private,-15.38361,35.3223,South West Zone,Functional
Airwing,ZA230015,Clinic,Government,-15.38876,35.38508,South West Zone,Functional
Airwing,LL040016,Dispensary,Government,-13.96162,33.69679,Centrals West Zone,Functional
Akalole Clinic,NT120017,Clinic,Mission/Faith-based (other than CHAM),-14.511149,34.460536,Centrals West Zone,Non-functional
Akasale,CR260018,Hospital,Private,-15.7594487,35.1148531,South East Zone,Functional
Alinafe,NK100019,Hospital,Christian Health Association of Malawi (CHAM),-13.38789,34.24292,Central East Zone,Functional
Alinafe,MC190020,Clinic,Private,-14.79853,35.44326,South West Zone,Non-functional
Alinafe Private Clinic,MG200021,Clinic,Private,-14.4790606,35.2574859,South West Zone,Functional
Alinafe Private Clinic,MC010022,Clinic,Private,-13.83069,33.04117,Centrals West Zone,Functional
Alliance one Clinic,LL040023,Clinic,Private,-13.89571,33.80108,Centrals West Zone,Functional
Alumenda Estate Clinic,CK270024,Clinic,Mission/Faith-based (other than CHAM),-15.3947344,34.653817,South East Zone,Non-functional
Alumenda,CK270025,Health Centre,Private,-16.403467,34.885647,South East Zone,Functional
Amalika,TH310026,Dispensary,Government,-15.99203,35.03183,South East Zone,Functional
Amazing,SA090027,Clinic,Private,-13.330111,NA,Central East Zone,Non-functional
AMECA (Chilaweni),BT240028,Clinic,Government,-15.703336,35.04442,South East Zone,Functional
Amitofo,BT240029,Health Centre,Non-Government,NA,NA,South East Zone,Functional
Anchor Farm,KU070030,Health Centre,Government,-13.41,33.39,Central East Zone,Functional
Anchor Health Centre,KU070031,Health Centre,Government,-13.414103,33.39074,Central East Zone,Functional
Aquid Lifeline Clinic,BT240032,Clinic,Non-Government,-15.62217,35.05604,South East Zone,Functional
Area 18,LL040033,Health Centre,Government,-13.94131,33.78051,Centrals West Zone,Functional
Area 18 Medi clinic,LL040034,Clinic,Private,-13.94454,33.77083,Centrals West Zone,Functional
Area 24 Private Clinic,LL040035,Clinic,Private,-14.0205,33.79967,Centrals West Zone,Non-functional
