facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
CANOSSA,100675-8,Dispensary,Private,-3.45802,36.71262,Arusha,Operating
ARUSHA LIFECARE MEDICAL  CENTRE,124407-8,Health Laboratory,Private,-3.37721,36.67611,Arusha,Operating
TERRAT,107809-6,Dispensary,Public,-3.454225,36.652426,Arusha,Operating
COGI DARAJA II,100909-1,Dispensary,Private,-3.387378,36.690832,Arusha,Operating
NADOSOITO,109516-5,Dispensary,Public,-3.493953,36.681011,Arusha,Operating
AFYA MAX,111552-6,Clinic,Private,-3.365947,36.675616,Arusha,Operating
KAM Med,102269-8,Health Center,Private,-3.378285,36.696048,Arusha,Operating
KANAAN LAND,111489-1,Dispensary,Private,-3.405768,36.644791,Arusha,Operating
KIMAHAMA,111784-5,Clinic,Private,-3.367506,36.68474,Arusha,Operating
SHAMSI,112007-0,Health Laboratory,Private,-3.37261,36.66517,Arusha,Operating
ARUSHA LUTHERAN MEDICAL CENTRE CENTER,100188-2,Hospital,Private,-3.36626,36.68231,Arusha,Operating
AGA KHAN,108577-8,Clinic,Private,-3.37077,36.68944,Arusha,Operating
MOSHONO,105312-3,Dispensary,Public,-3.40497,36.7301,Arusha,Operating
FOCUS HUMAN,113539-1,Health Laboratory,Private,NA,NA,Arusha,Operating
AICC,109601-5,Hospital,Public,-3.37481,36.69946,Arusha,Operating
SAFARI B,123541-5,Health Laboratory,Private,-3.39156,36.71307,Arusha,Operating
JOBI,111844-7,Dispensary,Private,-3.375044,36.676086,Arusha,Operating
ST. MICHAEL HEALTH CARE,124006-8,Dispensary,Private,-3.38433,36.67871,Arusha,Operating
MORDEN,111997-3,Health Laboratory,Private,-3.37521,36.67407,Arusha,Operating
ARUSHA CITY,112384-3,Hospital,Public,-3.419736,36.704657,Arusha,Operating
AFYARISE,124406-0,Health Laboratory,Private,-6.45679,38.21149,Arusha,Operating
HOLY FAMILY,101379-6,Clinic,Private,-3.41223,36.70756,Arusha,Operating
FM HEALTH CARE,113632-4,Health Laboratory,Private,-3.36734,36.72587,Arusha,Operating
OLKEREYAN,106910-3,Dispensary,Public,-3.43613,36.72062,Arusha,Operating
SMART,113640-7,Health Laboratory,Private,-3.405221,36.645555,Arusha,Operating
TBL,111223-4,Dispensary,Private,-3.38329,36.69911,Arusha,Operating
NOUR,121007-9,Clinic,Private,NA,NA,Arusha,Operating
MAJENGO,113622-5,Health Laboratory,Private,-3.37093,36.66064,Arusha,Operating
TOTAL CARE,107868-2,Health Center,Private,-3.39064,36.70467,Arusha,Operating
ARUSHA HEALTH CENTRE FOR WOMEN,100187-4,Health Center,Private,-3.36106,36.68535,Arusha,Operating
ARUSHA X-RAY CENTRE,100192-4,Dispensary,Private,-3.36579,36.699,Arusha,Operating
MATEVES,109812-8,Dispensary,Public,-3.359082,36.601756,Arusha,Operating
BARAA,113551-6,Health Laboratory,Private,-3.37256,36.7378,Arusha,Operating
AVETI,110873-7,Clinic,Private,-3.36314,36.69035,Arusha,Operating
MOYO,120892-5,Clinic,Private,NA,NA,Arusha,Operating
KIJENGE RC,102755-6,Dispensary,Private,-3.3816,36.70815,Arusha,Operating
St Joseph Health Care International,112912-1,Hospital,Private,-3.360253,36.658594,Arusha,Operating
TANGANYIKA PACKERS,109790-6,Dispensary,Public,-3.408887,36.745975,Arusha,Operating
MICO PALLOT,112001-3,Health Laboratory,Private,-3.38373,36.67416,Arusha,Operating
NJIRO INTERNATIONAL,120496-5,Clinic,Private,NA,NA,Arusha,Operating
LEVOLOSI,103490-9,Health Center,Public,-3.37227,36.6799,Arusha,Operating
DOSIL,110462-9,Dispensary,Private,-3.4102,36.658531,Arusha,Operating
BETHELI,113627-4,Health Laboratory,Private,-3.386244,36.726143,Arusha,Operating
ROSHAN,121268-7,Clinic,Private,NA,NA,Arusha,Operating
BARAA,121157-2,Dispensary,Public,-3.3794400000000002,36.73552,Arusha,Operating
BANK OF TANZANIA,112918-8,Clinic,Private,-3.36951,36.69325,Arusha,Operating
MAKISOKA OPTICAL GOODS,121648-0,Optical Facility,Private,NA,NA,Arusha,Operating
MARIE STOPES,104331-4,Dispensary,Private,-3.375013,36.684394,Arusha,Operating
R & D,121375-0,Clinic,Private,NA,NA,Arusha,Operating
ST.PETER DIAGNOSTIC,123656-1,Health Laboratory,Private,NA,NA,Arusha,Operating
ITHNAASHERI CHARITABLE,101462-0,Clinic,Private,-3.37424,36.68132,Arusha,Operating
KUHENGA ANNEX,122203-3,Health Laboratory,Private,NA,NA,Arusha,Operating
ADN CARE,123643-9,Health Center,Private,-3.37589,36.70298,Arusha,Operating
OLD ARUSHA,106891-5,Health Center,Private,-3.37439,36.69686,Arusha,Operating
ST RAPHAEL,111488-3,Dispensary,Private,-3.36065,36.69618,Arusha,Operating
SMART,113629-0,Clinic,Private,-3.37187,36.69877,Arusha,Operating
NORLAN,122602-6,Dispensary,Private,-3.45573,36.72421,Arusha,Operating
HAYAAT,120897-4,Clinic,Private,-3.37051,36.69912,Arusha,Operating
VICTORY,113549-0,Health Laboratory,Private,-3.37681,36.70717,Arusha,Operating
OLORIEN COMMUNITY,110725-9,Dispensary,Private,-3.38774,36.71161,Arusha,Operating
KIMAHAMA EYE AND VISION CENTRE,121635-7,Clinic,Private,NA,NA,Arusha,Operating
SEKEI,111974-2,Health Laboratory,Private,-3.36287,36.70447,Arusha,Operating
HI-TEK BIOLAB,122071-4,Health Laboratory,Private,NA,NA,Arusha,Operating
Optical Solutions Arusha,121658-9,Clinic,Private,NA,NA,Arusha,Operating
JMS HUMAN HEALTH,111491-7,Dispensary,Private,-3.365352,36.689535,Arusha,Operating
LARUSA,112836-2,Clinic,Private,-3.369451,36.686845,Arusha,Operating
COGI AMAN OLASITI,110831-5,Dispensary,Private,-3.41753,36.65603,Arusha,Operating
CITY CENTRE,111964-3,Health Laboratory,Private,-3.36786,36.68499,Arusha,Operating
NGARENARO,106358-5,Health Center,Public,-3.37346,36.68146,Arusha,Operating
NZUNDUKA,111956-9,Health Laboratory,Private,-3.38012,36.65985,Arusha,Operating
WAIFURAHA,122338-7,Clinic,Private,NA,NA,Arusha,Operating
FARAJA,101134-5,Dispensary,Private,-3.37231,36.68135,Arusha,Operating
HEIN,122268-6,Clinic,Private,-3.36193,36.69596,Arusha,Operating
FORWARD MODERN,113550-8,Health Laboratory,Private,-3.39125,36.673492,Arusha,Operating
POLICE,107008-5,Dispensary,Public,-3.36811,36.69189,Arusha,Operating
MKONOO,105112-7,Health Center,Public,-3.46341,36.69805,Arusha,Operating
WELINESS,113623-3,Dispensary,Private,-3.386351,36.660058,Arusha,Operating
Life Line,121160-6,Health Laboratory,Private,NA,NA,Arusha,Operating
RINO,122072-2,Health Laboratory,Private,NA,NA,Arusha,Operating
AVINTA CARE,113552-4,Health Laboratory,Private,-3.37622,36.7024,Arusha,Operating
A TO Z,121333-9,Dispensary,Private,-3.38333,36.59226,Arusha,Operating
KIAZE,111998-1,Health Laboratory,Private,-3.36279,36.67261,Arusha,Operating
HEALTH4ALL,113628-2,Clinic,Private,-3.373656,36.699567,Arusha,Operating
DARAJA II,109552-0,Health Center,Public,-3.38057,36.68765,Arusha,Operating
SOMBETINI,107527-4,Dispensary,Public,-3.39463,36.665003,Arusha,Operating
CABRIM,123163-8,Dispensary,Private,-3.40549,36.66653,Arusha,Operating
MOSHONO,114594-5,Health Center,Public,-3.44421,36.7151,Arusha,Operating
GLORIA,101224-4,Dispensary,Private,-3.361671,36.697168,Arusha,Operating
ELITE OPTICS,112824-8,Clinic,Private,NA,NA,Arusha,Operating
YOUHEAL,123183-6,Clinic,Private,-3.38578,36.72323,Arusha,Operating
MICO SAJE,113542-5,Dispensary,Private,-3.430558,36.678524,Arusha,Operating
AVINTA CARE,121376-8,Clinic,Private,NA,NA,Arusha,Operating
THEMI,107817-9,Health Center,Public,-3.39838,36.70107,Arusha,Operating
SHAMAH,110726-7,Dispensary,Private,-3.384721,36.681034,Arusha,Operating
MEDICLINIC,120766-1,Clinic,Private,NA,NA,Arusha,Operating
MURICK,122130-8,Health Laboratory,Private,NA,NA,Arusha,Operating
CITYSMILE,124005-0,Clinic,Private,-3.38156,36.70945,Arusha,Operating
USANDA,112005-4,Health Laboratory,Private,-3.42054,36.65796,Arusha,Operating
ST GEMA,114497-1,Health Center,Private,-3.37477,36.69964,Arusha,Operating
FMCARE,122943-4,Dispensary,Private,-3.36729,36.43335,Arusha,Operating
DARAJA MBILI,121091-3,Dispensary,Private,-3.42678,36.66784,Arusha,Operating
DELIGHT,120470-0,Clinic,Private,-3.39329,36.70503,Arusha,Operating
EL-SHADAI,121380-0,Dispensary,Private,-3.36256,36.67537,Arusha,Operating
UPONE CHARITABLE,108142-1,Dispensary,Private,-3.376765,36.660904,Arusha,Operating
KIMANDOLU,109983-7,Dispensary,Public,-3.371417,36.722325,Arusha,Operating
Heri,101355-6,Dispensary,Private,-3.38638,36.68523,Arusha,Operating
FMM,110721-8,Clinic,Private,-3.362834,36.7009,Arusha,Operating
SINONI,110727-5,Dispensary,Private,-3.41708,36.6876,Arusha,Operating
BIKIRA MARIA MAMA WA HURUMA,100364-9,Health Center,Private,-3.36571,36.68761,Arusha,Operating
MEGACARE,120451-0,Clinic,Private,NA,NA,Arusha,Operating
AGA KHAN,123471-5,Clinic,Private,-3.37077,36.68944,Arusha,Operating
SAKINA,110911-5,Dispensary,Private,-3.36137,36.67014,Arusha,Operating
WELL POINT,110919-8,Dispensary,Private,-3.40508,36.705694,Arusha,Operating
KIVUYO HOPE,124330-2,Health Laboratory,Private,-3.36425,36.58232,Arusha,Operating
KALOLENI,102258-1,Health Center,Public,-3.369322,36.688577,Arusha,Operating
FIL,122208-2,Health Laboratory,Private,NA,NA,Arusha,Operating
UPENDO,108118-1,Dispensary,Private,-3.360182,36.696237000000004,Arusha,Operating
SUNBEAM OPTICAL CENTRE,112314-0,Clinic,Private,-3.374242,36.684171,Arusha,Operating
LC AFYAPRIME MEDICARE,124022-5,Dispensary,Private,-3.25451,36.40291,Arusha,Operating
VISION CARE,112316-5,Clinic,Private,-3.37181,36.68789,Arusha,Operating
THE DENTAL PLAZA LIMITED,111255-6,Clinic,Private,-3.40854,36.70658,Arusha,Operating
ELERAI,109982-9,Dispensary,Public,-3.368833,36.658632,Arusha,Operating
HIGHWAY HEALTH,111957-7,Health Laboratory,Private,-3.39452,36.66518,Arusha,Operating
CURARE,111958-5,Health Laboratory,Private,-3.37033,36.68735,Arusha,Operating
TAHFIFU,111960-1,Health Laboratory,Private,-3.37467,36.67456,Arusha,Operating
N.G LIGHT,111783-7,Dispensary,Private,-3.44181,36.66592,Arusha,Operating
SUNNI MUSLIM CHARITABLE,108580-2,Clinic,Private,-3.3717800000000002,36.68668,Arusha,Operating
BUTURI,111959-3,Health Laboratory,Private,-3.38578,36.70966,Arusha,Operating
ARUSHA JUNIOR,111965-0,Dispensary,Private,-3.368606,36.681106,Arusha,Operating
AMANI GE,111966-8,Health Laboratory,Private,-3.36825,36.68539,Arusha,Operating
NEEMA,111983-3,Health Laboratory,Private,-3.37232,36.68052,Arusha,Operating
SOFTMED,111996-5,Health Laboratory,Private,-3.43811,36.70531,Arusha,Operating
BARAA RC,100320-1,Dispensary,Private,-3.38882,36.73671,Arusha,Operating
WELEDI,122149-8,Health Laboratory,Private,NA,NA,Arusha,Operating
LCC HURUMA,110715-0,Dispensary,Private,-3.418995,36.658198,Arusha,Operating
SAMMY EYE CARE,112315-7,Clinic,Private,-3.36999,36.685859,Arusha,Operating
VISION PERFECT LIMITED,112318-1,Clinic,Private,-3.37217,36.69415,Arusha,Operating
VISION CARE,123188-5,Clinic,Private,-3.39788,36.70476,Arusha,Operating
OLORIENI,109980-3,Dispensary,Public,-3.385231,36.714165,Arusha,Operating
NEW KALOLENI,122073-0,Health Laboratory,Private,NA,NA,Arusha,Operating
METROPOLIS HEALTH CARE  TANZANIA LIMITED,121972-4,Health Laboratory,Private,-3.36686,36.68834,Arusha,Operating
STAR OPTOMETRY,112317-3,Clinic,Private,-3.361102,36.684911,Arusha,Operating
ST THOMASVUHC EYE CLINIC,121641-5,Clinic,Private,NA,NA,Arusha,Operating
MSIMBAZI EYE CENTRE LTD - ARUSHA BRANCH,114212-4,Clinic,Private,NA,NA,Arusha,Operating
GRAN MELIA ARUSHA,124144-7,Clinic,Private,-3.37079,36.70698,Arusha,Operating
EBEN,101053-7,Dispensary,Private,-3.36372,36.68965,Arusha,Operating
GLITZ,121317-2,Clinic,Private,NA,NA,Arusha,Operating
CRITI CARE,123664-5,Health Laboratory,Private,NA,NA,Arusha,Operating
AFYA MAX,120915-4,Clinic,Private,NA,NA,Arusha,Operating
MKOMBOZI,122343-7,Clinic,Private,-3.41733,36.69166,Arusha,Operating
SAMARITAN VILLAGE,114422-9,Dispensary,Private,-3.40194,36.74548,Arusha,Operating
MAGEREZA,109439-0,Dispensary,Public,-3.369214,36.619845,Arusha,Operating
BARAKA,114498-9,Dispensary,Private,-3.403896,36.6787,Arusha,Operating
OLASITI SMART,122173-8,Health Laboratory,Private,NA,NA,Arusha,Operating
AMENAH'S,124027-4,Dispensary,Private,-3.37603,36.66193,Arusha,Operating
MURIET,112377-7,Health Center,Public,-3.440929,36.654003,Arusha,Operating
AGAPE,111982-5,Health Laboratory,Private,-3.396758,36.658008,Arusha,Operating
SANAWARI,107272-7,Dispensary,Private,-3.362164,36.695852,Arusha,Operating
ARUSHA JUNIOR HUMAN,122160-5,Health Laboratory,Private,NA,NA,Arusha,Operating
PHYSIOCARE,121378-4,Physiotherapy Clinic,Private,-3.39398,36.70832,Arusha,Operating
Sokoni One Modern,121964-1,Health Laboratory,Private,NA,NA,Arusha,Operating
AVINTACARE MEDICAL CENTRE,120339-7,Health Center,Private,-3.375,36.7025,Arusha,Operating
DII,123224-8,Clinic,Private,-3.39384,36.70809,Arusha,Operating
MODERN CLINICAL,122110-0,Health Laboratory,Private,NA,NA,Arusha,Operating
ARUSHA CENTRE,111993-2,Health Laboratory,Private,NA,NA,Arusha,Operating
MOIVARO,105272-9,Health Center,Public,-3.39281,36.7559,Arusha,Operating
DR PHASHUNA HEALTH DIAGNOSTIC LABORATORY,121950-0,Health Laboratory,Private,NA,NA,Arusha,Operating
NJIRO SDA,110823-2,Dispensary,Private,-3.40858,36.70727,Arusha,Operating
R&D,122155-5,Health Laboratory,Private,NA,NA,Arusha,Operating
TANYA,121379-2,Clinic,Private,NA,NA,Arusha,Operating
HAYAAT,113630-8,Clinic,Private,-3.37051,36.69911,Arusha,Operating
PRINCE,113543-3,Health Laboratory,Private,-3.37626,36.66222,Arusha,Operating
TABASAMU,120877-6,Clinic,Private,-3.3667,36.68798,Arusha,Operating
ANNOINTING MEDICAL,122847-7,Dispensary,Private,-3.40767,36.67525,Arusha,Operating
