facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Alop HC II,pUeR6j03GhJ,HC II,GOV,2.668848,33.4502,Acholi,Functional
Adilang HC III,FvewOonC8lS,HC III,GOV,2.741335,33.475305,Acholi,Functional
David Fagerlee's  Medical Centre,G51dLKvQTxh,HC II,PNFP,2.743743,33.477844,Acholi,Functional
Lukole HC III,RHk4V3ZlFbx,HC III,GOV,2.835436,33.338962,Acholi,Functional
Acuru HC II,wLkwoyLOOZe,HC II,GOV,2.925697,33.192796,Acholi,Functional
Obolokome (Lira) HC II,cPeDqm6vYHn,HC II,GOV,2.820513,33.193728,Acholi,Functional
Otumpili HC II,QaoM6583QZW,HC II,GOV,2.825156,33.388625,Acholi,Functional
Acholpii HC III,aKoVWgIufTx,HC III,GOV,2.731935,33.050428,Acholi,Functional
Geregere HC II,WgXtPbUAyJD,HC II,GOV,2.769527,33.234658,Acholi,Functional
Kalongo Ambrosoli Memorial Hospital,y8q1syPdfdK,General Hospital,PNFP,3.04341,33.37204,Acholi,Functional
Onudapet HC II,eVHfL3dqKR5,HC II,GOV,2.640292,33.405462,Acholi,Functional
Kotomor HC III,xErihzThO6h,HC III,GOV,2.643039,33.348372,Acholi,Functional
Odokomit HC II,s21e0ARLfsE,HC II,GOV,2.639486,33.273415,Acholi,Functional
Kuywee HC II,TTIgbcijnJz,HC II,GOV,3.057506,33.302483,Acholi,Functional
Toroma HC II,IOuCAfFo6J4,HC II,GOV,3.091677,33.27052,Acholi,Functional
Paimol HC III,RM8vegpr7j7,HC III,GOV,3.123609,33.432854,Acholi,Functional
Lamiyo HC III,gEJIdy608EI,HC III,GOV,2.807232,33.055155,Acholi,Functional
Kwonkic HC II,fIGI5AZsJHF,HC II,GOV,2.811759,33.111148,Acholi,Functional
Ligiligi HC II,h0zUXZyCyJL,HC II,GOV,2.750191,33.427424,Acholi,Functional
Orina HC II,CYCMFtMgnfI,HC II,GOV,2.712824,33.423227,Acholi,Functional
Amyel HC II,DjuTQL7H5ck,HC II,GOV,2.940914,33.470324,Acholi,Functional
Lira Kaket HC II,pBrduMkhHQy,HC II,GOV,2.982532,33.462597,Acholi,Functional
Ogwang Kamolo HC II,ifSPcuzT8Iw,HC II,GOV,2.939501,33.441621,Acholi,Functional
Ongalo HC II,ajeoW3M1Tvm,HC II,GOV,2.987945,33.434993,Acholi,Functional
Lira Kato HC III,a9ZI6jNBqXx,HC III,GOV,2.868972,33.487996,Acholi,Functional
Abilonino HC II,aGfndLfPcOz,HC II,GOV,2.879034,33.438764,Acholi,Functional
Lira Palwo HC III,aNM5X9P50rl,HC III,GOV,2.786579,33.160548,Acholi,Functional
St. Janani HC II,ldVk8civU6m,HC II,PNFP,2.782428,33.166426,Acholi,Functional
Lanyirinyiri HC II,o919aB1NWyq,HC II,GOV,2.749782,33.184894,Acholi,Functional
Lapirin HC III,FHLViw9IqR6,HC III,GOV,2.860853,33.276642,Acholi,Functional
Olung HC II,zfMY9GBN26I,HC II,GOV,2.922139,33.366326,Acholi,Functional
Layita HC II,gvwYnobdOdM,HC III,GOV,3.271141,33.415952,Acholi,Functional
Omiya Pacwa HC II,p1eA0ghuSyR,HC II,GOV,3.193472,33.44343,Acholi,Functional
Omot HC II,GzIVh9blxSN,HC III,GOV,2.692556,33.209908,Acholi,Functional
Kokil HC II,ASNnd0et215,HC II,GOV,3.061405,33.423601,Acholi,Functional
Pakor HC II,err2diilQ8C,HC II,GOV,3.088585,33.374828,Acholi,Functional
Pacer HC II,w9mcV8YwoKa,HC III,GOV,2.983858,33.331009,Acholi,Functional
Kabala HC II,mErpRZrtmz8,HC II,GOV,2.984033,33.369986,Acholi,Functional
Opyelo HC III,JICsD1QzzeJ,HC III,GOV,NA,NA,Acholi,Functional
Patongo Prison HC II,AbQGl8CrhXH,HC II,GOV,NA,NA,Acholi,Functional
Patongo HC IV,oUcwyNtRzrb,HC IV,GOV,2.760376,33.311819,Acholi,Functional
Okwadoko HC II,fN5JzGLE8gv,HC II,GOV,3.156584,33.169552,Acholi,Functional
Wol HC III,qOIHRAbHyeu,HC III,GOV,3.12226,33.22395,Acholi,Functional
Okungedi HC II,LPjcTTbfcGL,HC II,GOV,2.877835,31.939399,Acholi,Functional
Amuru Lacor HC III,aFgrVHVDqoZ,HC III,PNFP,2.811959,31.93769,Acholi,Functional
Amuru Prison HC II,aqCLIBUuDgw,HC II,GOV,NA,NA,Acholi,Functional
Labongogali HC III,Tvayfd3cIU2,HC III,GOV,2.81497,32.018286,Acholi,Functional
Oberabic HC II,OJYXXSC87rV,HC II,PNFP,2.914859,31.966638,Acholi,Functional
Amuru HC II,UJ0t5BYVpBM,HC II,GOV,2.819629,31.923052,Acholi,Functional
Otwee HC III,rnSuCabTqe3,HC III,GOV,2.805735,31.859404,Acholi,Functional
Mother Health International,VdSMFKnHeyT,HC II,PNFP,3.2837,32.119426,Acholi,Functional
Okidi HC II,kJ8CMUMloVu,HC II,GOV,3.266826,32.22376,Acholi,Functional
Pacilo HC II,awjedeMiWo3,HC II,GOV,3.321137,32.10615,Acholi,Functional
Ayiko International Hospital,KSVxJfpwdlo,General Hospital,PNFP,NA,NA,Acholi,Functional
Sacred Heart HC II (Atiak Subcounty),r6JsqcaIqQh,HC II,PNFP,3.2837,32.119426,Acholi,Functional
Atiak HC IV,i5CDWEBfo9n,HC IV,GOV,3.255633,32.120378,Acholi,Functional
Elegu Port HC II,OgYKIobOLya,HC II,GOV,NA,NA,Acholi,Functional
Bibia HC III,N00TPmBoIls,HC III,GOV,3.472603,32.06728,Acholi,Functional
Elegu Police HC II,O3KU4kLq6PT,HC II,GOV,NA,NA,Acholi,Functional
Parabongo HC II,mYGNn9Bx0OH,HC II,GOV,2.906365,32.152688,Acholi,Functional
Otici HC II,Y1aTreUsUZn,HC II,GOV,2.953022,32.012936,Acholi,Functional
Guruguru HC II,l25J2D2A6R3,HC II,GOV,2.910468,32.078893,Acholi,Functional
Olwal HC III,vnIPfEUR8ce,HC III,GOV,2.837736,32.07898,Acholi,Functional
Awer HC II,XdXAfIaLuld,HC II,GOV,2.839922,32.175022,Acholi,Functional
Kaladima HC III,jWmjHpZqNtY,HC III,GOV,2.82238,32.139215,Acholi,Functional
Kaladima Prison Clinic,u7JAnlZqo5D,HC II,GOV,NA,NA,Acholi,Functional
Keyo HC II,AJxamlmKn2x,HC II,PNFP,2.811973,32.188865,Acholi,Functional
Keyo Medical Centre HC II,UZYxp87I4oX,HC II,PFP,2.810001,32.189007,Acholi,Functional
Mutema HC II,M5YKLYHpU1v,HC II,GOV,2.881456,31.872985,Acholi,Functional
Omee I HC II,llrIsQDjqka,HC II,GOV,2.852568,31.770991,Acholi,Functional
Palukere HC II,TjOqyM8ZMii,HC II,GOV,3.16532,32.159401,Acholi,Functional
Pawel HC III,mNeUlm3SpRz,HC III,GOV,3.09435,32.157624,Acholi,Functional
Apaa HC II,VomjjgKAFjr,HC II,GOV,2.97363,31.715275,Acholi,Functional
Bira HC II,UDIcZADBS92,HC II,GOV,3.064758,32.108274,Acholi,Functional
Otong HC II,a2a7qNyJg9j,HC II,GOV,3.017417,32.195858,Acholi,Functional
Jengari HC II,am0vQYNJohR,HC II,GOV,2.946616,32.138015,Acholi,Functional
Odokonyero HC II,C8i6PL7Rmim,HC II,GOV,2.97245,32.106046,Acholi,Functional
Pabo Medical and Maternity Clinic,goyzaXgJl7C,Clinic,PFP,3.000579,32.137072,Acholi,Functional
Pabbo (Govt) HC III,rYNfPnt4Wko,HC III,GOV,2.999294,32.141495,Acholi,Functional
Lacor-Pabbo HC III,FNTxj1oKTQd,HC III,PNFP,3.008099,32.144627,Acholi,Functional
Olinga HC II,a4QeS81YJ8z,HC II,GOV,3.059338,32.032157,Acholi,Functional
Pogo HC III,a5pTJ9dZfZV,HC II,GOV,3.203807,32.045818,Acholi,Functional
Light Rays Uganda HC II,JIhuoOFwtAr,HC II,PNFP,2.770688,32.248454,Acholi,Functional
Marie Stopes Uganda Gulu HC II,aRBRoPNJuhf,HC II,PNFP,2.774532,32.297878,Acholi,Functional
Oitino HC II,F2C1BkGVMSW,HC II,GOV,2.80716,32.235277,Acholi,Functional
Pikwo Medical Centre Clinic,jysVbegOvJ8,Clinic,PFP,2.776228,32.290047,Acholi,Functional
Piwan Medical Centre,oA9gSEEB1qd,HC II,PFP,NA,NA,Acholi,Functional
St. Mary's  Hospital Lacor,aPsvoBYxsDS,General Hospital,PNFP,2.765965,32.252295,Acholi,Functional
Comboni Samaritans HC II,aoBupw5zrMP,HC II,PNFP,2.759193,32.29009,Acholi,Functional
St. Monica HC II,PDrCI0KZp8c,HC II,PNFP,2.769779,32.289016,Acholi,Functional
St. Philip HC II,LPJ8Gxge7ig,HC II,PNFP,2.764646,32.274944,Acholi,Functional
Victory Medical Centre Clinic (Laroo) HC II,asZMKtqcAd9,Clinic,PFP,2.770455,32.29714,Acholi,Functional
Charity Medical Centre,Az3dr4kZboc,HC II,PFP,NA,NA,Acholi,Non-Functional
Child Care Community Centre,gNOc58wzKHx,HC II,PFP,2.819564,32.290396,Acholi,Functional
Gulu Independent Hospital,RsY5tCgiuHp,General Hospital,PFP,2.776519,32.290091,Acholi,Functional
Gulu Military Hospital,x1UaYpPwx6c,General Hospital,GOV,2.779875,32.280798,Acholi,Functional
Gulu Prison HC III,i7JbInoEb2D,HC III,GOV,2.770191,32.292896,Acholi,Functional
Gulu Women Prison HC II,pVtYCy55mn4,HC II,GOV,NA,NA,Acholi,Functional
International Medical Centre Clinic,S0RHvHct4uS,Clinic,PFP,2.777002,32.294284,Acholi,Functional
Kony-Kwo Clinic,jnS54maqjwy,Clinic,PFP,2.765609,32.248846,Acholi,Non-Functional
Care Plus Medical Centre,AbgTvK9gyhA,HC II,PFP,NA,NA,Acholi,Functional
Layibi Techo HC III,n8DIemz1Xoh,HC III,GOV,2.745584,32.292266,Acholi,Functional
Bardege HC III,aKP6B0Z5nbZ,HC III,GOV,2.794789,32.293181,Acholi,Functional
St. Mary's Medical Centre,KD8INI3rs3S,Clinic,PFP,NA,NA,Acholi,Functional
Alokolum HC II,YLwAhOTWHrQ,HC II,GOV,2.755539,32.227290000000004,Acholi,Functional
Charity Medical Centre Clinic,z5ZQ9inpGF5,HC II,PFP,NA,NA,Acholi,Non-Functional
Glanhor Clinic,UpumtCGZcN0,Clinic,PFP,2.754792,32.302596,Acholi,Functional
Good Hope Medical Centre (Gulu) Clinic,LIuykl04kI9,Clinic,PFP,2.769862,32.296484,Acholi,Non-Functional
St. Nektarios Orthodox HC III,kG0Pg9QsbJM,HC III,PNFP,2.837696,32.318789,Acholi,Functional
Unyama HC II,rigBgTrixkr,HC II,GOV,2.796725,32.348527,Acholi,Functional
TASO Gulu Special Clinic,atGRMXTBJaA,Clinic,PNFP,2.776794,32.299329,Acholi,Functional
AAR Gulu Clinic,b2LlvIFGc5U,Clinic,PFP,2.772942,32.298497,Acholi,Functional
Agonga Karine Community HC II,CkUZza1MI3Y,HC II,PNFP,2.819524,32.2905,Acholi,Functional
Aywee HC III,aE0Yzd3YZQ9,HC III,GOV,2.757654,32.316856,Acholi,Functional
Community Clinic,pXRws5D6wrR,Clinic,PFP,2.770935,32.298653,Acholi,Functional
Fitzmann Medical and Dental Clinic,aLYCBzAcgPU,Clinic,PFP,2.771777,32.300983,Acholi,Functional
Flama Uganda HC II,DgcoJ3W21vA,HC II,PNFP,2.774748,32.299626,Acholi,Functional
Goodwilll Polyclinic,fLjNMAg4ymN,Clinic,PNFP,NA,NA,Acholi,Non-Functional
Gulu Lifeline Clinic,ac0AKXEU6Cz,Clinic,PFP,NA,NA,Acholi,Non-Functional
Gulu Police HC III,afGTmR6EesS,HC III,GOV,2.771163,32.302495,Acholi,Functional
Gulu Regional Referral Hospital,QDc7Wijvfca,RRH,GOV,2.777541,32.298886,Acholi,Functional
Gulu University HC II,GDyo7zIJZ29,HC II,GOV,2.787377,32.316154,Acholi,Functional
Gulu Youth Centre HC II,qZUu0ylcHTa,HC II,PFP,2.782387,32.300399,Acholi,Functional
Healing Hand Medical Centre,iRuin8Wmvzp,HC II,PFP,NA,NA,Acholi,Functional
Karin Medical Centre HC III,huR6kAEICw4,HC III,PNFP,2.816177,32.33498,Acholi,Functional
Lapeta HC II,FvZUwmuSrzB,HC II,GOV,2.825758,32.325185,Acholi,Functional
Laroo HC III,elqHQKpMveQ,HC III,GOV,2.785601,32.324877,Acholi,Functional
Mary Queen Of Peace HC III,pD07V67nAEZ,HC III,PNFP,2.792912,32.366022,Acholi,Functional
Mola Medical Centre Clinic,Vc52QmdPT1X,Clinic,PFP,2.773002,32.300118,Acholi,Non-Functional
Musgrave HC II,y6obJSQlHLE,HC II,PNFP,2.766426,32.344621,Acholi,Non-Functional
Pece Awel HC III,CM43BBuBghi,HC III,GOV,2.770335,32.310045,Acholi,Functional
Pece Prisons HC II,MRK5dHBnvSw,HC II,GOV,2.776443,32.317663,Acholi,Functional
Pilwak Clinic (Pece) HC II,DCyQXcoWZw7,Clinic,PFP,2.765195,32.29946,Acholi,Functional
Reproductive Health Uganda (Gulu) HC II,o3GWM4VVhQy,HC II,PNFP,2.775286,32.302782,Acholi,Functional
St. Bakita Medical Centre and Maternity Home,bkDIfDrVsnC,HC II,PFP,NA,NA,Acholi,Functional
St. Mauritz HC III,XpSHs0t1rtF,HC III,PNFP,2.800341,32.302196,Acholi,Functional
Awach HC IV,Z1dfGmIoSeF,HC IV,GOV,2.967422,32.40162,Acholi,Functional
Gwengdiya HC II,F6wXWJHDAlo,HC II,GOV,2.9316,32.336749,Acholi,Functional
Punena HC II,WKobZy8pNwR,HC II,GOV,2.877292,32.286114,Acholi,Functional
Coope HC II,KBjtlZguP00,HC II,GOV,2.858875,32.278128,Acholi,Functional
Lukodi HC II,dIbIL5tIcDi,HC II,PNFP,2.913809,32.299451,Acholi,Functional
Rwotobilo HC II,UH56sJpuPoN,HC II,GOV,2.899117,32.226768,Acholi,Functional
Omel HC III,ZEEW8QXy1sS,HC III,GOV,2.876609,32.582281,Acholi,Functional
Lugore Prisons HC II,PQ5WTEpxw8U,HC II,GOV,3.049712,32.343156,Acholi,Functional
Lugore HC II,Gzcd4Zsd8iB,HC II,GOV,3.047497,32.353593,Acholi,Functional
Pugwinyi HC II,UgqKAVxjbex,HC II,GOV,2.957975,32.207429,Acholi,Functional
Pabwo HC III,WleyUUQfJK6,HC III,GOV,2.844617,32.216728,Acholi,Functional
Paibona HC II,gtVTKwveKEE,HC II,GOV,3.018144,32.453271,Acholi,Functional
Cwero HC III,apGje3lIGEP,HC III,GOV,2.922571,32.514097,Acholi,Functional
Gracius Clinic and Maternity Home,RefkDqDX6jq,Clinic,PFP,2.924162,32.518822,Acholi,Functional
Kal Alii HC II,cStwSlODOpK,HC II,GOV,2.897302,32.454584,Acholi,Functional
Paicho Medical Centre,qb4Et8MqIZt,Clinic,PFP,2.894706,32.450207,Acholi,Functional
Te-Ato HC II,CQ5zCINpLm3,HC II,GOV,2.816439,32.454647,Acholi,Functional
Labworomor HC III,ltWFhjfI6qF,HC III,GOV,3.114663,32.365199,Acholi,Functional
Oroko HC II,bRt4VDvHDPQ,HC II,GOV,3.28226,32.365073,Acholi,Functional
Pawel Angany HC II,NsNbvtaMOK2,HC II,GOV,3.023405,32.249266,Acholi,Functional
Patiko HC III,T5RAXrLQCD6,HC III,GOV,3.014087,32.324666,Acholi,Functional
Pukony HC II,EutuLBY58L0,HC II,GOV,2.964352,32.459859,Acholi,Functional
Angaya HC III,P2sdfoxH0a7,HC III,GOV,2.838155,32.379013,Acholi,Functional
Kitgum Hospital,z2LfysbyF9U,General Hospital,GOV,3.294849,32.881659,Acholi,Functional
Kitgum Maternity and Medical Centre Clinic,f7pQNP83wd9,Clinic,PFP,3.297117,32.880667,Acholi,Functional
Kitgum Police HC II,v3S6pvqS63U,HC II,GOV,3.295591,32.874735,Acholi,Functional
Kitgum Prison HC II,MvWfNbmsyfy,HC II,GOV,3.293648,32.874892,Acholi,Functional
Lorado Medical Clinic,CU6IfK8lFaQ,Clinic,PFP,NA,NA,Acholi,Non-Functional
Maternity Home HC II,XyQOt9FlVin,HC II,PFP,3.297093,32.880905,Acholi,Non-Functional
Meeting Point HC II,FW0YzouB8dl,HC II,PNFP,3.293442,32.882121,Acholi,Functional
Bregma HC II,k1Ady0jT3QS,HC II,PFP,3.287926,32.882018,Acholi,Functional
Bmj Medical Clinic,ifmbldJaNrM,Clinic,PFP,3.298138,32.877743,Acholi,Functional
Irene Gleeson Foundation HC II,OSehC9j4JV1,HC II,PNFP,3.283134,32.874136,Acholi,Functional
Florence Medic Drug Supplies HC II,AcJBataZEgg,HC II,PFP,NA,NA,Acholi,Non-Functional
Capricon Medical Clinic,aY4QRB6dKBj,Clinic,PFP,3.297742,32.877377,Acholi,Functional
Kitgum-Matidi HC III,aKgreJPVnve,HC III,GOV,3.267744,33.050422,Acholi,Functional
Obyen HC II,GFklTLJ61aK,HC II,GOV,3.328375,33.055256,Acholi,Functional
Pajimo HC III,f33lKK2tJNV,HC III,GOV,3.324679,32.801812,Acholi,Functional
Pajimo Military HC II,QpXYf9Wb3CQ,HC II,GOV,3.334289,32.793029,Acholi,Functional
Tumangu HC II,mWCozaybY0V,HC II,GOV,3.233684,32.746872,Acholi,Functional
Gweng-Coo HC II,resqo4n29Tk,HC II,GOV,3.219156,32.881961,Acholi,Functional
Lukwor HC II,ayBEw3mzXtd,HC II,GOV,3.287398,32.945318,Acholi,Functional
Okidi HC III,MxcpmhA0rrA,HC III,GOV,3.212006,32.823781,Acholi,Functional
Loborom HC III,WgmL7qQcVxV,HC III,GOV,3.373378,32.910656,Acholi,Functional
Akuna Laber HC III,aWMoXZucGiV,HC III,GOV,3.207886,33.096511,Acholi,Functional
Lakwor HC II,qDsAKcIKGZy,HC II,GOV,3.183584,33.059356,Acholi,Functional
Oryang Kulu Kwach HC II,lYrwiBVHAUv,HC II,GOV,3.231038,32.973239,Acholi,Functional
Pawidi HC II,ZrUF32ffNp7,HC II,GOV,3.256738,33.090582,Acholi,Functional
Lagot HC II,GYYFVZOZ3gz,HC II,GOV,3.388031,33.132933,Acholi,Functional
Mucwini HC III,qKGMj34R5qZ,HC III,GOV,3.410502,33.023089,Acholi,Functional
Pudor HC II,VGQoNrPWxFI,HC II,GOV,3.376995,32.977356,Acholi,Functional
