facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Namatindi Rural Health Centre,1835,Health Centre,MOH,-14.44888262,22.76034052,Western,Functional
Kaluwe Rural Health Centre,1815,Health Centre,MOH,-14.501655,22.134218,Western,Functional
Mankhaka  Health Post,2564,Health Post,MOH,-12.28888333,33.17441667,Eastern,Functional
Chisu Health Post,4084,Health Post,MOH,-17.264517,24.383903,Western,Functional
Chienge District Hospital,4157,1st Level Hospital,MOH,-8.65494,29.16818,Luapula,Functional
Nanzhila Rural Health Centre,1337,Health Centre,MOH,-16.095959,26.08017,Southern,Functional
Lealui Rural Health Centre,3467,Health Centre,MOH,-15.23853,23.024347,Western,Functional
Zubeda Clinic,3662,Diagnostic centre,Private,-15.7726,28.18208,Lusaka,Functional
Katondo Urban Health Centre,1830,Health Centre,MOH,-14.45656559,28.471535,Central,Functional
Mutanda Rural Health Centre,2503,Health Centre,MOH,-12.422681,26.220345,North-Western,Functional
Hamatuba Health Post,3283,Health Post,MOH,-16.77294134,28.06408955,Southern,Functional
Lumbe Nanyenzu Health Post,3237,Health Post,MOH,-16.105277,23.298611,Western,Functional
Kawaza Rural Health Post,1901,Health Post,MOH,-14.256272,32.164201,Eastern,Functional
Katuta Rural Health Centre,2817,Health Centre,MOH,-10.7849,28.5906,Luapula,Functional
Choma Health Post,3240,Health Post,MOH,-10.3632,33.40582,Muchinga,Functional
Mpidi Health Centre,4020,Health Centre,MOH,-14.159019734304,23.316753999023,North-Western,Functional
Chingola Surgery Limited,4126,General clinic,Private,-12.32313,25.520052,Copperbelt,Functional
Makia Health Post,1772,Health Post,MOH,-14.700629,22.368515,Western,Functional
Lutwi Health Post,1805,Health Post,MOH,-14.54194624,22.27855835,Western,Functional
Multi Care Hospital,4225,1st Level Hospital,Private,-15.4436461,28.315525,Lusaka,Functional
First Fruits Health Centre,3668,General clinic,Private,-15.4556412,28.2919459,Lusaka,Functional
Village of Hope Health Center,3658,General clinic,Private,-15.3149,28.68143,Lusaka,Functional
Shilenda Rural Health Centre,2509,Health Centre,MOH,-12.392532,25.767549,North-Western,Functional
Limulunga Stage II Rural Health Centre,1664,Health Centre,MOH,-15.13463,23.14575,Western,Functional
Kamitonte Rural Health Centre,2629,Health Centre,ZNS,-12.002304,26.415867,North-Western,Functional
Situlu Health Post,1097,Health Post,MOH,-17.276812,25.017909,Western,Functional
Lubilo Health Post,3981,Health Post,MOH,-13.184307,24.907225,North-Western,Functional
Bwanunkha Rural Health Centre,2004,Health Centre,MOH,-13.934065,32.576443,Eastern,Functional
Shimulala Health Post,2566,Health Post,MOH,-12.494461896503,27.810874970703,Copperbelt,Functional
Teal Dermatology,4196,Others,Private,NA,NA,Lusaka,Functional
Tinna Medical Centre,2403,Health Centre,Private,-12.79542,28.20821,Copperbelt,Functional
Mushika Health Post,2904,Health Post,MOH,-9.960946,30.747583,Northern,Functional
Konkola Health Post,2557,Health Post,MOH,-12.29901243,27.75720412,Copperbelt,Functional
Kawama Rural Health Centre,2893,Health Centre,MOH,-10.084,28.63336,Luapula,Functional
Lubwa Rural Health Centre,3481,Health Centre,Faith Based,-10.591334,32.006834,Muchinga,Functional
Misaka Health Post,2280,Health Post,MOH,-13.029763,28.453016,Copperbelt,Functional
Fikombo Health Post,3092,Health Post,MOH,-11.911045667437,28.645105057526,Luapula,Functional
Vision Care Centre-Makeni Shopping Mall,4352,Eye clinic,Private,NA,NA,Lusaka,Functional
Chembe Rural Health Centre,3605,Health Centre,MOH,-11.967709543184,28.745475279713,Luapula,Functional
Hamapande Rural Health Centre,1281,Health Centre,MOH,-16.30163888,27.12485061,Southern,Functional
Mayanga Health Post,3530,Health Post,MOH,-8.786396,31.390706,Northern,Functional
City Dental Clinic,4226,General clinic,Private,-15.4067,28.29598,Lusaka,Functional
WHB Medical Centre,4317,General clinic,Private,-15.392212,28.308881,Lusaka,Functional
Nvumabaranda Chisasa Health Service,4704,Health Post,Private,NA,NA,North-Western,Functional
Kafulamase Health Post,1817,Health Post,MOH,-14.484307,28.512841,Central,Functional
Lui River Rural Health Centre,1447,Health Centre,MOH,-15.7598,23.5246,Western,Functional
Kamisamba Health Post,3578,Health Post,MOH,-13.989471,23.617306,North-Western,Functional
Miteta Health Post,3148,Health Post,MOH,-12.389875,27.763988,Copperbelt,Functional
Silowana Rural Health Centre,1311,Health Centre,MOH,-16.195841,23.159877,Western,Functional
Twingi Health Post,3865,Health Post,MOH,-11.7484399,29.5073267,Luapula,Functional
Kaanzwa Rural Health centre,1469,Health Centre,MOH,-15.656098,26.107979,Southern,Functional
Kampinda Rural Health Centre,3492,Health Centre,MOH,-8.766667,29.766667,Northern,Functional
Mwenyi Health Post,1720,Health Post,MOH,-14.944999,22.569107,Western,Functional
Chondwe Health Post,2218,Health Post,MOH,-13.3096,28.760481,Copperbelt,Functional
Ndoba Rural Health Center,2724,Health Centre,MOH,-11.2667,29.5236,Luapula,Functional
Kampamba Health Post,2896,Health Post,MOH,-10.022273,31.925295,Northern,Functional
Mukangala Health Centre,3635,Health Centre,MOH,-11.4287,24.3314,North-Western,Functional
Mwaiseni Urban Health Center,3815,Health Centre,MOH,-12.82212,28.24862,Copperbelt,Functional
Rufunsa Rural Health Center,3917,Health Centre,MOH,-15.3459,29.23904,Lusaka,Functional
Vision Care Opticians Great North Mall,4357,Eye clinic,Private,NA,NA,Lusaka,Functional
Pollen Urban Health Centre,1840,Health Centre,MOH,-14.4412,28.4628,Central,Functional
Puta Rural Health Centre,3055,Health Centre,MOH,-8.68798,29.14746,Luapula,Functional
Muchinshi Rural Health Centre,2561,Health Centre,MOH,-12.493740468216,27.542937245117,Copperbelt,Functional
Mfulabunga Rural Health Centre,2116,Health Centre,MOH,-13.495047,28.032383,Copperbelt,Functional
